cardName,setName,foil,qtyOwned,buyPrice,sellPrice,buyMerchant,sellMerchant,buyQty,sellQty,spread
Bloodchief Ascension,Zendikar,0,1,3.25,4.39,abugames,trollandtoad,16,1,%
Mana Confluence,Journey into Nyx,0,1,3.02,4.45,abugames,tcgplayer,16,,%
Pernicious Deed,Apocalypse,0,3,3,4.49,magicdotcards,trollandtoad,,4,%
Blinkmoth Nexus,Modern Masters 2015 Edition,0,8,3.82,4.49,abugames,trollandtoad,99,25,%
Patron Wizard,Odyssey,0,1,3.5,4.49,cardkingdom,trollandtoad,13,10,%
Meditate,Tempest,0,2,5,4.49,magicdotcards,trollandtoad,,17,%
Maralen of the Mornsong,Morningtide,0,1,2,4.5,magicdotcards,tcgplayer,,,%
Horn of Greed,Stronghold,0,2,4.5,4.59,cardkingdom,trollandtoad,17,1,%
Konda's Banner,Champions of Kamigawa,0,1,4.7,4.79,cardkingdom,trollandtoad,19,1,%
Font of Mythos,Conflux,0,1,3.8,4.79,cardkingdom,trollandtoad,22,9,%
Sword of Kaldra,Mirrodin,0,1,3.5,4.79,cardkingdom,trollandtoad,18,14,%
Scion of the Ur-Dragon,Time Spiral,0,3,4,4.79,cardkingdom,trollandtoad,19,2,%
Enchantress's Presence,Onslaught,0,1,4,4.81,cardkingdom,tcgplayer,10,,%
Darksteel Forge,Magic 2014 Core Set,0,1,3,4.89,capefeargames,trollandtoad,3,4,%
Black Market,Mercadian Masques,0,1,2,4.89,capefeargames,trollandtoad,3,4,%
Oversold Cemetery,Onslaught,0,1,4,4.96,cardkingdom,tcgplayer,14,,%
Mindslaver,Mirrodin,0,1,3,4.97,cardkingdom,tcgplayer,21,,%
Beast Within,Planechase 2012 Edition,0,1,2.5,4.98,capefeargames,tcgplayer,7,,%
Gavony Township,Innistrad,0,2,3.7,4.99,cardkingdom,trollandtoad,36,3,%
Birthing Pod,New Phyrexia,0,2,3.69,4.99,abugames,trollandtoad,12,6,%
Remand,Duel Decks: Jace vs. Vraska,0,1,3.02,5.04,abugames,tcgplayer,15,,%
"Karn, Silver Golem",Urza's Saga,0,1,4.64,5.19,abugames,trollandtoad,8,1,%
"Uril, the Miststalker",Alara Reborn,0,1,4,5.3,cardkingdom,tcgplayer,10,,%
Cataclysm,Exodus,0,1,2.51,5.39,abugames,trollandtoad,99,10,%
Phelddagrif,Alliances,0,1,3.58,5.49,abugames,trollandtoad,12,4,%
Legion Loyalist,Gatecrash,0,1,5,5.49,magicdotcards,trollandtoad,,28,%
Grave Titan,Magic 2011,0,1,3.8,5.49,cardkingdom,trollandtoad,11,5,%
Awakening Zone,Rise of the Eldrazi,0,1,3.58,5.54,abugames,tcgplayer,16,,%
Reveillark,Morningtide,0,2,5,5.59,magicdotcards,trollandtoad,,2,%
Gravecrawler,Dark Ascension,0,4,4,5.99,magicdotcards,tcgplayer,,,%
Blinkmoth Nexus,Darksteel,0,4,5.62,5.99,abugames,trollandtoad,16,11,%
Gilded Lotus,Mirrodin,0,1,6,5.99,cardkingdom,trollandtoad,18,3,%
Worship,Urza's Saga,0,1,7.91,5.99,abugames,trollandtoad,20,1,%
Pyromancer Ascension,Zendikar,0,2,5.23,5.99,abugames,trollandtoad,16,20,%
Lurking Predators,Magic 2010,0,1,4,6.26,cardkingdom,tcgplayer,22,,%
Birds of Paradise,Magic 2012,0,1,4,6.39,cardkingdom,trollandtoad,23,1,%
Toxin Sliver,Legions,0,1,6,6.49,magicdotcards,trollandtoad,,2,%
Rise of the Dark Realms,Magic 2014 Core Set,0,1,4,6.49,cardkingdom,trollandtoad,20,4,%
Cyclonic Rift,Return to Ravnica,0,1,3.8,6.49,cardkingdom,tcgplayer,42,,%
Genesis Wave,Scars of Mirrodin,0,1,4.5,6.49,cardkingdom,trollandtoad,29,4,%
"Darien, King of Kjeldor",Coldsnap,0,1,4.3,6.53,cardkingdom,tcgplayer,19,,%
Undiscovered Paradise,Visions,0,1,3.5,6.64,cardkingdom,tcgplayer,12,,%
Copperline Gorge,Scars of Mirrodin,0,1,4.5,6.79,cardkingdom,trollandtoad,24,2,%
Eldrazi Monument,Zendikar,0,1,5,6.94,magicdotcards,tcgplayer,,,%
Ajani Steadfast,Magic 2015 Core Set,0,1,5,6.99,magicdotcards,trollandtoad,,4,%
Blinkmoth Nexus,Modern Masters,0,1,5.56,6.99,abugames,trollandtoad,30,5,%
Cloud Key,Future Sight,0,2,4,7.07,cardkingdom,tcgplayer,8,,%
Phyrexian Crusader,Mirrodin Besieged,0,1,4.5,7.21,cardkingdom,tcgplayer,28,,%
Reflecting Pool,Shadowmoor,0,1,4.2,7.21,cardkingdom,tcgplayer,23,,%
Martyr's Bond,Commander,0,1,2.75,7.33,abugames,tcgplayer,12,,%
Mana Echoes,Onslaught,0,1,5,7.39,cardkingdom,trollandtoad,18,12,%
Eiganjo Castle,Champions of Kamigawa,0,1,6,7.49,cardkingdom,trollandtoad,10,5,%
Parallel Lives,Innistrad,0,2,5,7.49,capefeargames,trollandtoad,2,5,%
Primordial Hydra,Magic 2012,0,1,5,7.49,magicdotcards,trollandtoad,,2,%
Mistbind Clique,Lorwyn,0,1,8,7.96,cardkingdom,tcgplayer,21,,%
"Thalia, Guardian of Thraben",Dark Ascension,0,1,5,7.99,magicdotcards,trollandtoad,,1,%
