Count,Tradelist Count,Name,Edition,My Price,Price
13,8,Blood Baron of Vizkopa,Dragon's Maze,2.23,$2.40
2,2,Blood Crypt,Return to Ravnica,7.82,$8.15
2,2,Blood Lust,Legends,5.82,$5.64
2,2,Blood Moon,Chronicles,38.99,$38.11
2,2,Blood Moon,The Dark,55.48,$59.00
1,1,Blood Moon,The Dark,55.48,$59.00
4,4,Blood of the Martyr,The Dark,0.24,$0.21
48,8,Blood Scrivener,Dragon's Maze,0.27,$0.28
28,8,Blood-Chin Fanatic,Dragons of Tarkir,0.38,$0.35
4,4,Bloodfire Dwarf,Apocalypse,0.16,$0.14
4,4,Bloodfire Infusion,Apocalypse,0.17,$0.14
7,7,Bloodfire Kavu,Apocalypse,0.2,$0.17
9,8,Bloodgift Demon,Innistrad,0.55,$0.53
43,8,Bloodsoaked Champion,Khans of Tarkir,0.67,$0.65
6,6,Bloodstained Mire,Khans of Tarkir,14.28,$14.84
2,2,Bloodstone Cameo,Invasion,0.22,$0.20
1,1,Blossoming Wreath,Weatherlight,0.17,$0.14
12,8,Bludgeon Brawl,New Phyrexia,0.35,$0.31
8,8,Blue Elemental Blast,Revised Edition,0.18,$0.16
2,2,Blue Mana Battery,Legends,0.63,$0.67
4,4,Blue Sun's Zenith,Mirrodin Besieged,0.93,$0.96
3,3,Blue Ward,Revised Edition,0.18,$0.16
2,2,Boa Constrictor,Mercadian Masques,0.2,$0.18
6,6,Bog Down,Planeshift,0.17,$0.14
4,4,Bog Glider,Prophecy,0.17,$0.14
4,4,Bog Gnarr,Apocalypse,0.15,$0.14
5,5,Bog Imp,The Dark,0.16,$0.14
4,4,Bog Initiate,Invasion,0.18,$0.15
1,1,Bog Raiders,Urza's Saga,0.17,$0.14
6,6,Bog Rats,The Dark,0.16,$0.14
4,4,Bog Smugglers,Mercadian Masques,0.17,$0.14
4,4,Bog Witch,Mercadian Masques,0.19,$0.15
3,3,Bog Wraith,Revised Edition,0.18,$0.16
7,7,Bogbrew Witch,Magic 2014 Core Set,0.42,$0.41
1,1,Boiling Blood,Weatherlight,0.17,$0.16
10,8,Bola Warrior,Nemesis,0.16,$0.14
21,8,Boltwing Marauder,Dragons of Tarkir,0.35,$0.32
2,2,Bone Flute,The Dark,0.2,$0.18
1,1,Bone Flute,The Dark,0.2,$0.18
1,1,Bone Harvest,Mirage,0.17,$0.15
1,1,Bone Mask,Mirage,0.35,$0.32
2,2,Bone Shaman,Ice Age,0.16,$0.14
6,6,Bonescythe Sliver,Magic 2014 Core Set,1.95,$1.96
3,3,Bonfire of the Damned,Avacyn Restored,4.95,$4.96
2,2,Book of Rass,The Dark,0.25,$0.24
3,3,Boomerang,Legends,0.4,$0.56
1,1,Boomerang,Legends,0.4,$0.56
1,1,Boomerang,Classic Sixth Edition,0.14,$0.19
51,8,Boon Satyr,Theros,0.36,$0.32
25,8,Borborygmos Enraged,Gatecrash,1.04,$1.02
60,8,Boros Battleshaper,Dragon's Maze,0.28,$0.26
8,8,Boros Charm,Gatecrash,2.71,$2.73
12,8,Boros Reckoner,Gatecrash,2.61,$2.73
3,3,"Boseiju, Who Shelters All",Champions of Kamigawa,19.27,$18.76
1,1,Bottle of Suleiman,Revised Edition,0.31,$0.30
1,1,Bottomless Pit,Stronghold,0.23,$0.28
4,4,Bottomless Vault,Fallen Empires,0.8,$0.82
3,3,Bouncing Beebles,Urza's Legacy,0.17,$0.15
37,8,Bow of Nylea,Theros,1.84,$1.85
8,8,Brain in a Jar,Shadows over Innistrad,0.89,$0.96
1,1,Braingeyser,Unlimited Edition,29.99,$29.99
1,1,Braingeyser,Unlimited Edition,29.99,$29.99
2,2,Braingeyser,Revised Edition,2.56,$2.54
1,1,Brainstorm,Ice Age,0.97,$1.02
6,6,Brainstorm,Mercadian Masques,1.26,$1.27
6,6,Brainwash,The Dark,0.16,$0.14
1,1,Brainwash,Fourth Edition,0.14,$0.15
1,1,Branded Brawlers,Prophecy,0.16,$0.14
7,7,Brass Herald,Apocalypse,0.25,$0.25
1,1,Brass Man,Revised Edition,0.17,$0.15
2,2,Brassclaw Orcs,Fallen Empires,0,$0.18
7,7,Brassclaw Orcs,Fallen Empires,0,$0.15
4,4,Brassclaw Orcs,Fallen Empires,0,$0.18
4,4,Brassclaw Orcs,Fallen Empires,0,$0.18
1,1,Brawl,Mercadian Masques,0.34,$0.30
4,4,Breach,Urza's Saga,0.17,$0.15
33,8,Breaking // Entering,Dragon's Maze,0,$0.77
2,2,Breath of Darigaaz,Invasion,0.22,$0.22
2,2,Breathstealer,Mirage,0.17,$0.14
5,5,Breeding Pit,Fallen Empires,0.24,$0.25
3,3,Breezekeeper,Visions,0.17,$0.15
1,1,Briar Patch,Mercadian Masques,0.2,$0.21
2,2,Bribery,Mercadian Masques,19.43,$19.51
3,3,Brilliant Halo,Urza's Saga,0.19,$0.16
4,4,"Brimaz, King of Oreskos",Born of the Gods,8.12,$7.97
2,2,Brine Shaman,Ice Age,0.17,$0.14
58,8,Bring to Light,Battle for Zendikar,0.57,$0.79
1,1,Broken Fall,Tempest,0.17,$0.14
1,1,Bronze Tablet,Fourth Edition,0.24,$0.27
58,8,Brood Butcher,Battle for Zendikar,0.31,$0.29
4,4,Brothers of Fire,The Dark,0.21,$0.18
1,1,Brothers of Fire,Fourth Edition,0.14,$0.14
2,2,Brown Ouphe,Ice Age,0.17,$0.14
2,2,"Bruna, Light of Alabaster",Avacyn Restored,2.04,$2.06
2,2,Brush with Death,Stronghold,0.16,$0.14
1,1,Brushland,Ice Age,6.51,$6.53
45,8,Brutal Expulsion,Battle for Zendikar,0.34,$0.37
23,8,Brutal Hordechief,Fate Reforged,1.31,$1.44
1,1,Brutal Suppression,Prophecy,0.21,$0.20
2,2,Builder's Bane,Mirage,0.16,$0.14
1,1,Bull Elephant,Visions,0.16,$0.14
1,1,Bullwhip,Stronghold,0.19,$0.19
1,1,Bulwark,Urza's Saga,0.32,$0.30
4,4,Buoyancy,Mercadian Masques,0.17,$0.14
35,8,Burn at the Stake,Avacyn Restored,0.39,$0.37
11,8,Burn from Within,Shadows over Innistrad,0.38,$0.36
6,6,Burning Anger,Magic 2015 Core Set,0.25,$0.23
6,6,Burning Earth,Magic 2014 Core Set,0.42,$0.38
2,2,Burning Shield Askari,Mirage,0.16,$0.14
1,1,Burrowing,Revised Edition,0.18,$0.16
2,2,Burst of Energy,Urza's Legacy,0.17,$0.15
64,8,Butcher of the Horde,Khans of Tarkir,0.38,$0.38
12,8,Bygone Bishop,Shadows over Innistrad,1.46,$1.39
24,8,Cackling Counterpart,Innistrad,0.44,$0.42
1,1,Cackling Fiend,Urza's Saga,0.17,$0.16
1,1,Cackling Witch,Mercadian Masques,0.19,$0.17
1,1,Caged Sun,New Phyrexia,3.99,$4.19
5,5,Caldera Kavu,Planeshift,0.17,$0.14
1,1,Caldera Lake,Tempest,0.79,$0.77
27,8,Call the Gatewatch,Oath of the Gatewatch,0.35,$0.36
1,1,Call to the Grave,Magic 2012,0.87,$0.86
31,8,Call to the Kindred,Dark Ascension,0.39,$0.36
2,2,Calming Licid,Stronghold,0.2,$0.20
6,6,Calming Verse,Prophecy,0.2,$0.19
